method,path,normalized_path,source,line
GET,/jornada/resolver/:carnet,/jornada/resolver/:param,src/router.rs,253
GET,/jornada/semana/:carnet,/jornada/semana/:param,src/router.rs,254
GET,/kpis/dashboard,/kpis/dashboard,src/router.rs,392
DELETE,/marcaje/admin/asistencia/:id,/marcaje/admin/asistencia/:param,src/router.rs,215
GET,/marcaje/admin/config,/marcaje/admin/config,src/router.rs,208
GET,/marcaje/admin/dashboard,/marcaje/admin/dashboard,src/router.rs,210
GET,/marcaje/admin/devices,/marcaje/admin/devices,src/router.rs,207
PUT,/marcaje/admin/devices/:uuid,/marcaje/admin/devices/:param,src/router.rs,229
POST,/marcaje/admin/geocercas,/marcaje/admin/geocercas,src/router.rs,238
DELETE,/marcaje/admin/geocercas/:id_or_carnet,/marcaje/admin/geocercas/:param,src/router.rs,234
GET,/marcaje/admin/geocercas/:id_or_carnet,/marcaje/admin/geocercas/:param,src/router.rs,234
GET,/marcaje/admin/ips,/marcaje/admin/ips,src/router.rs,203
POST,/marcaje/admin/ips,/marcaje/admin/ips,src/router.rs,203
DELETE,/marcaje/admin/ips/:id,/marcaje/admin/ips/:param,src/router.rs,228
GET,/marcaje/admin/monitor,/marcaje/admin/monitor,src/router.rs,209
POST,/marcaje/admin/reiniciar/:carnet,/marcaje/admin/reiniciar/:param,src/router.rs,219
GET,/marcaje/admin/reportes,/marcaje/admin/reportes,src/router.rs,223
GET,/marcaje/admin/sites,/marcaje/admin/sites,src/router.rs,199
POST,/marcaje/admin/sites,/marcaje/admin/sites,src/router.rs,199
DELETE,/marcaje/admin/sites/:id,/marcaje/admin/sites/:param,src/router.rs,224
PUT,/marcaje/admin/sites/:id,/marcaje/admin/sites/:param,src/router.rs,224
GET,/marcaje/admin/solicitudes,/marcaje/admin/solicitudes,src/router.rs,198
PUT,/marcaje/admin/solicitudes/:id/resolver,/marcaje/admin/solicitudes/:param/resolver,src/router.rs,211
POST,/marcaje/correccion,/marcaje/correccion,src/router.rs,195
POST,/marcaje/geocerca/validar,/marcaje/geocerca/validar,src/router.rs,233
POST,/marcaje/gps-track,/marcaje/gps-track,src/router.rs,196
POST,/marcaje/gps-track-batch,/marcaje/gps-track-batch,src/router.rs,197
POST,/marcaje/mark,/marcaje/mark,src/router.rs,190
POST,/marcaje/request-correction,/marcaje/request-correction,src/router.rs,194
GET,/marcaje/summary,/marcaje/summary,src/router.rs,191
POST,/marcaje/undo-last,/marcaje/undo-last,src/router.rs,193
POST,/marcaje/undo-last-checkout,/marcaje/undo-last-checkout,src/router.rs,192
GET,/mi-dia,/mi-dia,src/router.rs,393
POST,/mi-dia/checkin,/mi-dia/checkin,src/router.rs,394
GET,/notas,/notas,src/router.rs,395
POST,/notas,/notas,src/router.rs,395
DELETE,/notas/:id,/notas/:param,src/router.rs,396
PATCH,/notas/:id,/notas/:param,src/router.rs,396
POST,/notes,/notes,src/router.rs,397
PATCH,/notes/:id,/notes/:param,src/router.rs,398
PUT,/notes/:id,/notes/:param,src/router.rs,398
POST,/notifications/device-token,/notifications/device-token,src/router.rs,399
GET,/notifications/status,/notifications/status,src/router.rs,400
GET,/notifications/test-email,/notifications/test-email,src/router.rs,401
GET,/notifications/test-email-public,/notifications/test-email-public,src/router.rs,402
GET,/notifications/test-overdue-redesign,/notifications/test-overdue-redesign,src/router.rs,406
GET,/notifications/test-push,/notifications/test-push,src/router.rs,410
GET,/organizacion/catalogo,/organizacion/catalogo,src/router.rs,411
GET,/organizacion/estructura-usuarios,/organizacion/estructura-usuarios,src/router.rs,412
GET,/planning/approvals,/planning/approvals,src/router.rs,83
POST,/planning/approvals/:idSolicitud/resolve,/planning/approvals/:param/resolve,src/router.rs,90
POST,/planning/check-permission,/planning/check-permission,src/router.rs,84
GET,/planning/dashboard/alerts,/planning/dashboard/alerts,src/router.rs,130
GET,/planning/debug,/planning/debug,src/router.rs,133
GET,/planning/grupos/:idGrupo,/planning/grupos/:param,src/router.rs,129
GET,/planning/mi-asignacion,/planning/mi-asignacion,src/router.rs,131
GET,/planning/my-projects,/planning/my-projects,src/router.rs,109
GET,/planning/pending,/planning/pending,src/router.rs,82
GET,/planning/plans,/planning/plans,src/router.rs,94
POST,/planning/plans,/planning/plans,src/router.rs,94
POST,/planning/plans/:id/close,/planning/plans/:param/close,src/router.rs,110
POST,/planning/reassign,/planning/reassign,src/router.rs,134
POST,/planning/request-change,/planning/request-change,src/router.rs,88
POST,/planning/resolve,/planning/resolve,src/router.rs,89
GET,/planning/stats,/planning/stats,src/router.rs,98
GET,/planning/stats/bottlenecks,/planning/stats/bottlenecks,src/router.rs,104
GET,/planning/stats/compliance,/planning/stats/compliance,src/router.rs,99
GET,/planning/stats/performance,/planning/stats/performance,src/router.rs,100
GET,/planning/supervision,/planning/supervision,src/router.rs,132
POST,/planning/tasks/:id/agregar-fase,/planning/tasks/:param/agregar-fase,src/router.rs,125
GET,/planning/tasks/:id/avance-mensual,/planning/tasks/:param/avance-mensual,src/router.rs,117
POST,/planning/tasks/:id/avance-mensual,/planning/tasks/:param/avance-mensual,src/router.rs,117
POST,/planning/tasks/:id/clone,/planning/tasks/:param/clone,src/router.rs,115
POST,/planning/tasks/:id/crear-grupo,/planning/tasks/:param/crear-grupo,src/router.rs,121
GET,/planning/tasks/:id/history,/planning/tasks/:param/history,src/router.rs,116
GET,/planning/team,/planning/team,src/router.rs,108
POST,/planning/update-operative,/planning/update-operative,src/router.rs,111
GET,/planning/workload,/planning/workload,src/router.rs,81
GET,/proyectos,/proyectos,src/router.rs,139
POST,/proyectos,/proyectos,src/router.rs,139
DELETE,/proyectos/:id,/proyectos/:param,src/router.rs,141
GET,/proyectos/:id,/proyectos/:param,src/router.rs,141
PATCH,/proyectos/:id,/proyectos/:param,src/router.rs,141
POST,/proyectos/:id/clonar,/proyectos/:param/clonar,src/router.rs,140
GET,/proyectos/:id/colaboradores,/proyectos/:param/colaboradores,src/router.rs,149
POST,/proyectos/:id/colaboradores,/proyectos/:param/colaboradores,src/router.rs,149
DELETE,/proyectos/:id/colaboradores/:idUsuario,/proyectos/:param/colaboradores/:param,src/router.rs,153
PATCH,/proyectos/:id/colaboradores/:idUsuario,/proyectos/:param/colaboradores/:param,src/router.rs,153
GET,/proyectos/:id/historial,/proyectos/:param/historial,src/router.rs,148
GET,/proyectos/:id/mis-permisos,/proyectos/:param/mis-permisos,src/router.rs,157
GET,/proyectos/:id/tareas,/proyectos/:param/tareas,src/router.rs,147
GET,/proyectos/roles-colaboracion,/proyectos/roles-colaboracion,src/router.rs,135
GET,/recordatorios,/recordatorios,src/router.rs,416
DELETE,/recordatorios/:id,/recordatorios/:param,src/router.rs,417
GET,/reportes/bloqueos-trend,/reportes/bloqueos-trend,src/router.rs,418
GET,/reportes/equipo-performance,/reportes/equipo-performance,src/router.rs,419
GET,/reportes/exportar,/reportes/exportar,src/router.rs,420
GET,/reportes/productividad,/reportes/productividad,src/router.rs,421
GET,/reports/agenda-compliance,/reports/agenda-compliance,src/router.rs,422
POST,/seed,/seed,src/router.rs,423
GET,/software/dashboard-stats,/software/dashboard-stats,src/router.rs,424
DELETE,/tareas/:id,/tareas/:param,src/router.rs,164
GET,/tareas/:id,/tareas/:param,src/router.rs,164
PATCH,/tareas/:id,/tareas/:param,src/router.rs,164
POST,/tareas/:id/avance,/tareas/:param/avance,src/router.rs,173
GET,/tareas/:id/bloqueos,/tareas/:param/bloqueos,src/router.rs,169
POST,/tareas/:id/clonar,/tareas/:param/clonar,src/router.rs,166
POST,/tareas/:id/descartar,/tareas/:param/descartar,src/router.rs,171
POST,/tareas/:id/instancia,/tareas/:param/instancia,src/router.rs,188
GET,/tareas/:id/instancias,/tareas/:param/instancias,src/router.rs,189
POST,/tareas/:id/mover,/tareas/:param/mover,src/router.rs,172
POST,/tareas/:id/participantes,/tareas/:param/participantes,src/router.rs,167
POST,/tareas/:id/recordatorio,/tareas/:param/recordatorio,src/router.rs,168
GET,/tareas/:id/recurrencia,/tareas/:param/recurrencia,src/router.rs,184
POST,/tareas/:id/recurrencia,/tareas/:param/recurrencia,src/router.rs,184
POST,/tareas/:id/revalidar,/tareas/:param/revalidar,src/router.rs,165
GET,/tareas/:idTarea/avance-mensual,/tareas/:param/avance-mensual,src/router.rs,158
POST,/tareas/:idTarea/avance-mensual,/tareas/:param/avance-mensual,src/router.rs,158
DELETE,/tareas/avance/:id,/tareas/avance/:param,src/router.rs,174
GET,/tareas/historico/:carnet,/tareas/historico/:param,src/router.rs,170
POST,/tareas/masiva,/tareas/masiva,src/router.rs,162
GET,/tareas/mias,/tareas/mias,src/router.rs,163
POST,/tareas/rapida,/tareas/rapida,src/router.rs,299
POST,/tareas/solicitud-cambio,/tareas/solicitud-cambio,src/router.rs,175
POST,/tareas/solicitud-cambio/:id/resolver,/tareas/solicitud-cambio/:param/resolver,src/router.rs,180
GET,/tareas/solicitud-cambio/pendientes,/tareas/solicitud-cambio/pendientes,src/router.rs,176
POST,/tasks,/tasks,src/router.rs,300
PATCH,/tasks/:id,/tasks/:param,src/router.rs,296
POST,/tasks/:id/clone,/tasks/:param/clone,src/router.rs,298
GET,/tasks/me,/tasks/me,src/router.rs,297
GET,/visibilidad/:carnet,/visibilidad/:param,src/router.rs,425
GET,/visibilidad/:carnet/actores,/visibilidad/:param/actores,src/router.rs,426
GET,/visibilidad/:carnet/empleados,/visibilidad/:param/empleados,src/router.rs,427
GET,/visibilidad/:carnet/puede-ver/:carnetObjetivo,/visibilidad/:param/puede-ver/:param,src/router.rs,428
GET,/visibilidad/:carnet/quien-puede-verme,/visibilidad/:param/quien-puede-verme,src/router.rs,432
GET,/visibilidad/organizacion/:idorg/subarbol,/visibilidad/organizacion/:param/subarbol,src/router.rs,436
POST,/visita-admin/agenda,/visita-admin/agenda,src/router.rs,289
DELETE,/visita-admin/agenda/:id_or_carnet,/visita-admin/agenda/:param,src/router.rs,290
GET,/visita-admin/agenda/:id_or_carnet,/visita-admin/agenda/:param,src/router.rs,290
PUT,/visita-admin/agenda/:id/reordenar,/visita-admin/agenda/:param/reordenar,src/router.rs,291
POST,/visita-admin/clientes,/visita-admin/clientes,src/router.rs,283
DELETE,/visita-admin/clientes/:id,/visita-admin/clientes/:param,src/router.rs,284
PUT,/visita-admin/clientes/:id,/visita-admin/clientes/:param,src/router.rs,284
GET,/visita-admin/dashboard,/visita-admin/dashboard,src/router.rs,279
POST,/visita-admin/importar-clientes,/visita-admin/importar-clientes,src/router.rs,282
GET,/visita-admin/metas,/visita-admin/metas,src/router.rs,292
POST,/visita-admin/metas,/visita-admin/metas,src/router.rs,292
GET,/visita-admin/reportes/km,/visita-admin/reportes/km,src/router.rs,281
GET,/visita-admin/tracking/:carnet,/visita-admin/tracking/:param,src/router.rs,288
GET,/visita-admin/visitas,/visita-admin/visitas,src/router.rs,280
GET,/visita-campo/agenda,/visita-campo/agenda,src/router.rs,243
POST,/visita-campo/checkin,/visita-campo/checkin,src/router.rs,245
POST,/visita-campo/checkout,/visita-campo/checkout,src/router.rs,246
GET,/visita-campo/clientes,/visita-campo/clientes,src/router.rs,244
GET,/visita-campo/resumen,/visita-campo/resumen,src/router.rs,247
GET,/visita-campo/stats/km,/visita-campo/stats/km,src/router.rs,249
POST,/visita-campo/tracking-batch,/visita-campo/tracking-batch,src/router.rs,248
GET,/visita-campo/tracking-raw,/visita-campo/tracking-raw,src/router.rs,250
GET,/visita-campo/usuarios-tracking,/visita-campo/usuarios-tracking,src/router.rs,251
