module,method,path,normalized_path,controller_file,line
diagnostico,GET,/diagnostico/stats,/diagnostico/stats,diagnostico/diagnostico.controller.ts,36
diagnostico,GET,/diagnostico/test-idcreador,/diagnostico/test-idcreador,diagnostico/diagnostico.controller.ts,125
diagnostico,GET,/diagnostico/test-tarea,/diagnostico/test-tarea,diagnostico/diagnostico.controller.ts,94
jornada,GET,/jornada/asignaciones,/jornada/asignaciones,jornada/jornada.controller.ts,51
jornada,POST,/jornada/asignaciones,/jornada/asignaciones,jornada/jornada.controller.ts,57
jornada,DELETE,/jornada/asignaciones/:id,/jornada/asignaciones/:param,jornada/jornada.controller.ts,63
jornada,GET,/jornada/horarios,/jornada/horarios,jornada/jornada.controller.ts,19
jornada,POST,/jornada/horarios,/jornada/horarios,jornada/jornada.controller.ts,28
jornada,DELETE,/jornada/horarios/:id,/jornada/horarios/:param,jornada/jornada.controller.ts,38
jornada,PUT,/jornada/horarios/:id,/jornada/horarios/:param,jornada/jornada.controller.ts,32
jornada,GET,/jornada/patrones,/jornada/patrones,jornada/jornada.controller.ts,43
jornada,POST,/jornada/patrones,/jornada/patrones,jornada/jornada.controller.ts,48
jornada,GET,/jornada/resolver/:carnet,/jornada/resolver/:param,jornada/jornada.controller.ts,9
jornada,GET,/jornada/semana/:carnet,/jornada/semana/:param,jornada/jornada.controller.ts,13
marcaje,DELETE,/marcaje/admin/asistencia/:id,/marcaje/admin/asistencia/:param,marcaje/marcaje.controller.ts,141
marcaje,GET,/marcaje/admin/config,/marcaje/admin/config,marcaje/marcaje.controller.ts,113
marcaje,GET,/marcaje/admin/dashboard,/marcaje/admin/dashboard,marcaje/marcaje.controller.ts,122
marcaje,GET,/marcaje/admin/devices,/marcaje/admin/devices,marcaje/marcaje.controller.ts,110
marcaje,PUT,/marcaje/admin/devices/:uuid,/marcaje/admin/devices/:param,marcaje/marcaje.controller.ts,205
marcaje,POST,/marcaje/admin/geocercas,/marcaje/admin/geocercas,marcaje/marcaje.controller.ts,231
marcaje,GET,/marcaje/admin/geocercas/:carnet,/marcaje/admin/geocercas/:param,marcaje/marcaje.controller.ts,225
marcaje,DELETE,/marcaje/admin/geocercas/:id,/marcaje/admin/geocercas/:param,marcaje/marcaje.controller.ts,241
marcaje,GET,/marcaje/admin/ips,/marcaje/admin/ips,marcaje/marcaje.controller.ts,109
marcaje,POST,/marcaje/admin/ips,/marcaje/admin/ips,marcaje/marcaje.controller.ts,196
marcaje,DELETE,/marcaje/admin/ips/:id,/marcaje/admin/ips/:param,marcaje/marcaje.controller.ts,201
marcaje,GET,/marcaje/admin/monitor,/marcaje/admin/monitor,marcaje/marcaje.controller.ts,116
